"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Davis District","07","Heritage School","157","Public","","","?","Pre - 6","1354 W WEAVER LANE","LAYTON","84041","geo:41.045397,-111.99158","http://www.davis.k12.ut.us/schools/heritage/","https://datagateway.schools.utah.gov/Schools/07157","801-402-1200","801-402-1201","","2002","","Principal","Heather Gross","hgross@dsdmail.net"
"Davis District","07","Hill Field School","135","Public","","","?","Pre - 6","389 S 1000 E","CLEARFIELD","84015","geo:41.10812,-112.005195","http://www.davis.k12.ut.us/schools/hillfield/","https://datagateway.schools.utah.gov/Schools/07135","801-402-2350","801-402-2351","","1963","","Principal","Sarah Elizabeth Burk","sburk@dsdmail.net"
"Davis District","07","Holbrook School","134","Public","","","?","Pre - 6","1018 E 250 N","BOUNTIFUL","84010","geo:40.891843,-111.860294","http://www.davis.k12.ut.us/schools/holbrook/","https://datagateway.schools.utah.gov/Schools/07134","801-402-1450","801-402-1451","","1959","","Principal","Tara Best","tarbest@dsdmail.net"
"Davis District","07","Holt School","137","Public","","Title I","?","Pre - 6","448 N 1000 W","CLEARFIELD","84015","geo:41.120457,-112.044156","http://www.davis.k12.ut.us/schools/holt/","https://datagateway.schools.utah.gov/Schools/07137","801-402-2400","801-402-2401","","1980","","Principal","Daryl Fluckiger","dfluckiger@dsdmail.net"
"Davis District","07","Kay's Creek School","170","Public","","","?","Pre - 6","2260 W Island Dr.","KAYSVILLE","84037","geo:41.0338547,-111.9886677","http://www.davis.k12.ut.us/170","https://datagateway.schools.utah.gov/Schools/07170","801-402-0050","801-402-0051","","2016","","Principal","Janice Bukey","jbukey@dsdmail.net"
"Davis District","07","Kaysville Jr High","410","Public","","","?","7 - 9","100 E 350 S","KAYSVILLE","84037","geo:41.028493,-111.935969","http://kjh.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07410","801-402-7200","801-402-7201","","1960","","Principal","Brett Sims","bsims@dsdmail.net"
"Davis District","07","Kaysville School","140","Public","","","?","Pre - 6","50 N 100 E","KAYSVILLE","84037","geo:41.035647,-111.935675","http://www.davis.k12.ut.us/schools/kaysville/","https://datagateway.schools.utah.gov/Schools/07140","801-402-3400","801-402-3401","","1967","","Principal","Michael Page","mpage@dsdmail.net"
"Davis District","07","King School","130","Public","","Title I","?","Pre - 6","601 E 1000 N","LAYTON","84041","geo:41.075236,-111.953502","http://www.davis.k12.ut.us/schools/king/","https://datagateway.schools.utah.gov/Schools/07130","801-402-3300","801-402-3301","","1977","","Principal","Alisha Johnson","akjohnson@dsdmail.net"
"Davis District","07","Knowlton School","139","Public","","","?","Pre - 6","801 SHEPARD LANE","FARMINGTON","84025","geo:41.000118,-111.905067","http://www.davis.k12.ut.us/schools/knowlton/","https://datagateway.schools.utah.gov/Schools/07139","801-402-3000","801-402-3001","","1980","","Principal","Jeri Thomas","jhthomas@dsdmail.net"
"Davis District","07","Lakeside School","155","Public","","","?","Pre - 6","2941 W 800 N","WEST POINT","84015","geo:41.124526,-112.082305","http://www.davis.k12.ut.us/155/site/default.asp","https://datagateway.schools.utah.gov/Schools/07155","801-402-2900","801-402-2901","","1999","","Principal","Hilaree Lowry","hstephens@dsdmail.net"
"Davis District","07","Layton High","710","Public","","","?","10 - 12","440 N LANCER LANE","LAYTON","84041","geo:41.0653,-111.959194","http://lhs.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07710","801-402-4800","801-402-4801","","1966","","Principal","Brock Jackman","bjackman@dsdmail.net"
"Davis District","07","Layton School","144","Public","","Title I","?","Pre - 6","369 W GENTILE","LAYTON","84041","geo:41.059608,-111.972998","http://www.davis.k12.ut.us/schools/layton/","https://datagateway.schools.utah.gov/Schools/07144","801-402-3500","801-402-3501","","1983","","Principal","Melissa Pendergast","mpendergast@dsdmail.net"
"Davis District","07","Legacy Jr High","424","Public","","","?","7 - 9","411 N 3200 W","LAYTON","84041","geo:41.066247,-112.026433","http://www.davis.k12.ut.us/424/site/default.asp","https://datagateway.schools.utah.gov/Schools/07424","801-402-4700","801-402-4701","","2009","","Principal","Thomas Strain","tstrain@dsdmail.net"
"Davis District","07","Lincoln School","143","Public","","Title I","?","Pre - 6","591 W 2000 N","LAYTON","84041","geo:41.088465,-111.976808","http://www.davis.k12.ut.us/143/site/default.asp","https://datagateway.schools.utah.gov/Schools/07143","801-402-2450","801-402-2451","","1965","","Principal","Regina Oechsle","roechsle@dsdmail.net"
"Davis District","07","Meadowbrook School","145","Public","","Title I","?","Pre - 6","700 N 325 W","BOUNTIFUL","84010","geo:40.896858,-111.888429","http://meadowbrook.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07145","801-402-1600","801-402-1601","","1964","","Principal","Christine Whitaker","cwhitaker@dsdmail.net"
"Davis District","07","Millcreek Jr High","411","Public","","","?","7 - 9","245 E 1000 S","BOUNTIFUL","84010","geo:40.879864,-111.875375","http://www.davis.k12.ut.us/411/site/default.asp","https://datagateway.schools.utah.gov/Schools/07411","801-402-6200","801-402-6201","","1967","","Principal","Edward Campbell","ecampbell@dsdmail.net"
"Davis District","07","Morgan School","141","Public","","","?","Pre - 6","1065 THORNFIELD RD","KAYSVILLE","84037","geo:41.051653,-111.9196","http://www.davis.k12.ut.us/schools/morgan/","https://datagateway.schools.utah.gov/Schools/07141","801-402-3450","801-402-3451","","1979","","Principal","Meggan Nichols","mnichols@dsdmail.net"
"Davis District","07","Mountain High","730","Public","","","?","10 - 12","490 S 500 E","KAYSVILLE","84037","geo:41.028493,-111.927891","http://mhs.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07730","801-402-0450","801-402-0451","","1983","","Administrator","Gregory Wuthrich","gwuthrich@dsdmail.net"
"Davis District","07","Mountain View School","154","Public","","","?","Pre - 6","2025 E 3100 N","LAYTON","84040","geo:41.104827,-111.928024","http://www.davis.k12.ut.us/schools/mountainview/","https://datagateway.schools.utah.gov/Schools/07154","801-402-3700","801-402-3701","","1995","","Principal","Natalie Vincent","nvincent@dsdmail.net"
"Davis District","07","Mueller Park Jr High","413","Public","","","?","7 - 9","995 E 1800 S","BOUNTIFUL","84010","geo:40.872545,-111.861111","http://mpjh.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07413","801-402-6300","801-402-6301","","1982","","Principal","Joanna Richins","jrichins@dsdmail.net"
"Davis District","07","Muir School","142","Public","","","?","Pre - 6","2275 S DAVIS BLVD","BOUNTIFUL","84010","geo:40.86472,-111.870573","http://www.davis.k12.ut.us/schools/muir/","https://datagateway.schools.utah.gov/Schools/07142","801-402-1550","081-402-1551","","1968","","Principal","Scott Richardson","srichardson@dsdmail.net"
"Davis District","07","North Davis Jr High","412","Public","","Title I","?","7 - 9","835 S STATE ST","CLEARFIELD","84015","geo:41.102154,-112.012246","http://www.davis.k12.ut.us/412/site/default.asp","https://datagateway.schools.utah.gov/Schools/07412","801-402-6500","801-402-6501","","1939","","Principal","Cerissa Thompson","cethompson@dsdmail.net"
"Davis District","07","North Layton Jr High","414","Public","","","?","7 - 9","1100 W 2000 N","LAYTON","84041","geo:41.090048,-111.986202","http://www.davis.k12.ut.us/414/site/default.asp","https://datagateway.schools.utah.gov/Schools/07414","801-402-6600","801-402-6601","","1968","","Principal","Corby Eason","ceason@dsdmail.net"
"Davis District","07","Northridge High","711","Public","","","?","10 - 12","2430 N HILLFIELD RD","LAYTON","84041","geo:41.095468,-111.970723","http://www.davis.k12.ut.us/711/site/default.asp","https://datagateway.schools.utah.gov/Schools/07711","801-402-8500","801-402-8501","","1993","","Principal","Jason Smith","jasmith@dsdmail.net"
"Davis District","07","Oak Hills School","146","Public","","","?","Pre - 6","1235 E 600 S","BOUNTIFUL","84010","geo:40.883124,-111.85514","http://www.davis.k12.ut.us/146/site/default.asp?","https://datagateway.schools.utah.gov/Schools/07146","801-402-1650","801-402-1651","","1962","","Principal","Cynthia Palmer","cbleicher@dsdmail.net"
"Davis District","07","Odyssey School","167","Public","","","?","Pre - 6","2050 S 1955 W","WOODS CROSS","84087","geo:40.8690391,-111.9398237","http://www.davis.k12.ut.us/Domain/8175","https://datagateway.schools.utah.gov/Schools/07167","801-402-0200","801-402-0201","","2014","","Principal","James Nash","bnash@dsdmail.net"
"Davis District","07","Orchard School","147","Public","","","?","Pre - 6","205 E CENTER STREET","NORTH SALT LAKE","84054","geo:40.842685,-111.906418","http://www.davis.k12.ut.us/schools/orchard/","https://datagateway.schools.utah.gov/Schools/07147","801-402-1700","801-402-1701","","1963","","Principal","Heidi Short","hshort@dsdmail.net"
"Davis District","07","Parkside School","121","Public","","","?","Pre - 6","2262 N 1500 W","CLINTON","84015","geo:41.146487,-112.054591","http://www.davis.k12.ut.us/schools/parkside/","https://datagateway.schools.utah.gov/Schools/07121","801-402-1150","801-402-1151","","2006","","Principal","Sandra Carmony","scarmony@dsdmail.net"
"Davis District","07","Reading School","150","Public","","","?","Pre - 6","360 W 2025 N","CENTERVILLE","84014","geo:40.947959,-111.884256","http://www.davis.k12.ut.us/schools/reading/index.html","https://datagateway.schools.utah.gov/Schools/07150","801-402-1750","801-402-1751","","1984","","Principal","Roger King","rking@dsdmail.net"
"Davis District","07","Renaissance Academy","733","Public","","","?","K - 12","264 S 500 EAST","KAYSVILLE","84037","geo:41.030534,-111.926557","http://www.davis.k12.ut.us/schools/davisjr/","https://datagateway.schools.utah.gov/Schools/07733","801-402-0350","801-402-0351","","1990","","Principal","William Lovell","bjlovell@dsdmail.net"
"Davis District","07","Sand Springs School","160","Public","","","?","Pre - 6","242 N 3200 W","LAYTON","84041","geo:41.063511,-112.025078","http://www.davis.k12.ut.us/160/site/default.asp","https://datagateway.schools.utah.gov/Schools/07160","801-402-3850","801-402-3851","","2004","","Principal","Kimberly Johnston","kjohnston@dsdmail.net"
"Davis District","07","Shoreline Junior High","428","Public","","","?","7 - 9","1150 S Westside Drive","LAYTON","84041","geo:41.0435828,-111.9973694","shorelinejr.davis.k12.ut.us","https://datagateway.schools.utah.gov/Schools/07428","801-402-7700","801-402-7701","","2019","","Principal","Edward Barker","ebarker@dsdmail.net"
"Davis District","07","Snow Horse School","162","Public","","","?","Pre - 6","1095 W SMITH LANE","KAYSVILLE","84037","geo:41.022608,-111.959901","http://www.davis.k12.ut.us/162/site/default.asp","https://datagateway.schools.utah.gov/Schools/07162","801-402-7350","801-402-7351","","2007","","Principal","Douglas Forsgren","dforsgren@dsdmail.net"
"Davis District","07","South Clearfield School","156","Public","","Title I","?","Pre - 6","990 E 700 S","CLEARFIELD","84015","geo:41.102865,-112.007949","http://www.davis.k12.ut.us/schools/sclearfield/","https://datagateway.schools.utah.gov/Schools/07156","801-402-2500","801-402-2501","","1950","","Principal","Brooke Paras","bparas@dsdmail.net"
"Davis District","07","South Davis Jr High","416","Public","","","?","7 - 9","298 W 2600 S","BOUNTIFUL","84010","geo:40.862146,-111.887725","http://www.davis.k12.ut.us/416/site/default.asp","https://datagateway.schools.utah.gov/Schools/07416","801-402-6400","801-402-6401","","1957","","Principal","Mark Jolley","mjolley@dsdmail.net"
"Davis District","07","South Weber School","158","Public","","","?","Pre - 6","1285 E LESTER ST","SOUTH WEBER","84405","geo:41.131615,-111.947463","http://www.davis.k12.ut.us/schools/sweber/","https://datagateway.schools.utah.gov/Schools/07158","801-402-3750","801-402-3751","","1976","","Principal","Christopher Laypath","claypath@dsdmail.net"
"Davis District","07","Star Transition","660","Public","","","?","7 - 12","97 S 200 EAST","FARMINGTON","84025","geo:41.028857,-111.925981","http://www.davis.k12.ut.us","https://datagateway.schools.utah.gov/Schools/07660","801-402-5975","","","2002","","Principal","Jeffrey Williams","jwilliams@dsdmail.net"
"Davis District","07","Stewart School","159","Public","","","?","Pre - 6","1155 N MAIN ST","CENTERVILLE","84014","geo:40.931251,-111.879735","http://www.davis.k12.ut.us/schools/stewart/","https://datagateway.schools.utah.gov/Schools/07159","801-402-1850","801-402-1851","","1978","","Principal","Terry Naylor","tnaylor@dsdmail.net"
"Davis District","07","Sunburst School","171","Public","","","?","Pre - 6","2504 W Sunburst Drive","LAYTON","84041","geo:41.06016,-112.01109","sunburst.davis.k12.ut.us","https://datagateway.schools.utah.gov/Schools/07171","801-402-8750","801-402-0751","","2020","","Principal","Rachel Alberts","ralberts@dsdmail.net"
"Davis District","07","Sunset Jr High","418","Public","","","?","7 - 9","1610 N 250 W","SUNSET","84015","geo:41.137179,-112.029924","http://www.davis.k12.ut.us/418/site/default.asp","https://datagateway.schools.utah.gov/Schools/07418","801-402-6700","801-402-6701","","1963","","Principal","Tamilla Oliver","toliver@dsdmail.net"
"Davis District","07","Sunset School","164","Public","","Title I","?","Pre - 6","2014 N 250 W","SUNSET","84015","geo:41.142614,-112.030082","http://sunset.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07164","801-402-2550","801-402-2551","","1954","","Principal","Jodi Rees","jlrees@dsdmail.net"
"Davis District","07","Syracuse High","716","Public","","","?","10 - 12","665 S 2000 W","SYRACUSE","84075","geo:41.081,-112.064454","http://www.davis.k12.ut.us/716/site/default.asp","https://datagateway.schools.utah.gov/Schools/07716","801-402-7900","801-402-7901","","2007","","Principal","Jed Johansen","jjohansen@dsdmail.net"
"Davis District","07","Syracuse Jr High","420","Public","","","?","7 - 9","1450 S 2000 W","SYRACUSE","84075","geo:41.0929,-112.065702","http://www.davis.k12.ut.us/schools/sjh/","https://datagateway.schools.utah.gov/Schools/07420","801-402-6800","801-402-6801","","1986","","Principal","Bradley Chapple","bchapple@dsdmail.net"
"Davis District","07","Syracuse School","168","Public","","","?","Pre - 6","1503 S 2000 W","SYRACUSE","84075","geo:41.092298,-112.063821","http://www.davis.k12.ut.us/168/site/default.asp","https://datagateway.schools.utah.gov/Schools/07168","801-402-2600","801-402-2601","","1915","","Principal","Douglas Hammerschmidt","dhammer@dsdmail.net"
"Davis District","07","Taylor School","138","Public","","","?","Pre - 6","293 E PAGES LN","CENTERVILLE","84014","geo:40.907003,-111.875024","http://taylor.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07138","801-402-1500","801-402-1501","","1954","","Principal","Darryl Denhalter","ddenhalter@dsdmail.net"
"Davis District","07","Tolman School","172","Public","","","?","Pre - 6","300 E 1200 N","BOUNTIFUL","84010","geo:40.901038,-111.87528","http://www.davis.k12.ut.us/schools/tolman/","https://datagateway.schools.utah.gov/Schools/07172","801-402-1900","801-402-1901","","1954","","Principal","Megan Fairbourn","mfairbourn@dsdmail.net"
"Davis District","07","Vae View School","193","Public","","Title I","?","Pre - 6","1750 W 1600 N","LAYTON","84041","geo:41.083457,-111.998499","http://www.davis.k12.ut.us/schools/vaeview/","https://datagateway.schools.utah.gov/Schools/07193","801-402-2800","801-402-2801","","1962","","Principal","Sophia Fleming","sfleming@dsdmail.net"
"Davis District","07","Valley View School","194","Public","","","?","Pre - 6","1395 S 600 E","BOUNTIFUL","84010","geo:40.874401,-111.868346","http://www.davis.k12.ut.us/schools/valleyview/","https://datagateway.schools.utah.gov/Schools/07194","801-402-2050","801-402-2051","","1961","","Principal","Neesha Killpack","nkillpack@dsdmail.net"
"Davis District","07","Viewmont High","712","Public","","","?","10 - 12","120 W 1000 N","BOUNTIFUL","84010","geo:40.900593,-111.882712","http://www.davis.k12.ut.us/712/site/default.asp","https://datagateway.schools.utah.gov/Schools/07712","801-402-4200","801-402-4201","","1983","","Principal","Travis Lund","tlund@dsdmail.net"
"Davis District","07","Vista Education Campus","650","Public","","","?","null","97 S 200 East","FARMINGTON","84025","geo:40.97922,-111.88215","","https://datagateway.schools.utah.gov/Schools/07650","801-402-5975","","","2023","","Administrator","",""
"Davis District","07","Wasatch School","180","Public","","Title I","?","Pre - 6","270 E CENTER ST","CLEARFIELD","84015","geo:41.11349,-112.021221","http://www.davis.k12.ut.us/schools/wasatch/","https://datagateway.schools.utah.gov/Schools/07180","801-402-2650","801-402-2651","","1954","","Principal","Chad Sanders","csanders@dsdmail.net"
"Davis District","07","West Bountiful School","184","Public","","","?","Pre - 6","500 N 800 West","WEST BOUNTIFUL","84087","geo:40.894864,-111.900597","http://www.davis.k12.ut.us/schools/wbountiful/","https://datagateway.schools.utah.gov/Schools/07184","801-402-2000","801-402-2001","","1908","","Principal","Adrienne Kennett","akennett@dsdmail.net"
"Davis District","07","West Clinton School","186","Public","","","?","Pre - 6","2826 W 1800 N","CLINTON","84015","geo:41.140484,-112.080326","http://www.davis.k12.ut.us/schools/wclinton/","https://datagateway.schools.utah.gov/Schools/07186","801-402-2700","801-402-2701","","1987","","Principal","Suzanne Clayton","sclayton@dsdmail.net"
"Davis District","07","West Point Jr High","422","Public","","","?","7 - 9","2775 W 550 N","WEST POINT","84015","geo:41.120765,-112.079594","http://wpjh.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07422","801-402-8100","801-402-8101","","2003","","Principal","Wendy Nelson","wnelson@dsdmail.net"
"Davis District","07","West Point School","188","Public","","","?","Pre - 6","3788 W 300 N","WEST POINT","84015","geo:41.118626,-112.098076","http://www.davis.k12.ut.us/schools/wpoint/","https://datagateway.schools.utah.gov/Schools/07188","801-402-2750","801-402-2751","","1915","","Principal","Marjorie Conrad","mconrad@dsdmail.net"
"Davis District","07","Whitesides School","192","Public","","Title I","?","Pre - 6","233 N COLONIAL AVE","LAYTON","84041","geo:41.064066,-111.952867","http://www.davis.k12.ut.us/schools/whitesides/","https://datagateway.schools.utah.gov/Schools/07192","801-402-3600","801-402-3601","","1953","","Principal","Heather Schulz","hschulz@dsdmail.net"
"Davis District","07","Windridge School","149","Public","","","?","Pre - 6","1300 S 700 E","KAYSVILLE","84037","geo:41.013479,-111.923345","http://www.davis.k12.ut.us/schools/windridge/","https://datagateway.schools.utah.gov/Schools/07149","801-402-3550","801-402-3551","","1995","","Principal","Casey Pickett","capickett@dsdmail.net"
"Davis District","07","Woods Cross High","714","Public","","","?","10 - 12","600 W 2200 S","WOODS CROSS","84087","geo:40.868329,-111.895234","http://wxhs.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07714","801-402-4500","801-402-4501","","1972","","Principal","Deanne Kapetanov","dkapetanov@dsdmail.net"
"Davis District","07","Woods Cross School","152","Public","","","?","Pre - 6","745 W 1100 S","WOODS CROSS","84087","geo:40.877955,-111.899202","http://www.davis.k12.ut.us/152/site/default.asp","https://datagateway.schools.utah.gov/Schools/07152","801-402-1800","801-402-1801","","1982","","Principal","Buck Ekstrom","bekstrom@dsdmail.net"
"Deamude Adventist Christian School","NP","Deamude Adventist Christian School","910","Private","","","?","K - 8","1765 W 2100 S","OGDEN","84401","geo:41.228173,-112.022615","","","801-731-3140","801-431-4314","","2008","","Principal","","deamudeschool@yahoo.com"
"Diamond Ranch Academy","LC","Diamond Ranch Academy","100","Private","","","?","K - 12","433 S 4180 W","HURRICANE","84737","geo:37.128006,-113.255214","","","435-635-4297","435-635-4436","","2002","","Director","",""
"Discovery Academy","KF","Discovery Academy","662","Private","","","?","7 - 12","105 N 500 W","PROVO","84601","geo:40.235539,-111.668054","www.discoveryacademy.com","","801-374-2121","801-373-4451","","1991","","Director","Lee Gregersen Jensen, Jr.","lauriel@discoveryacademy.com"
"Discovery Academy","KF","Discovery Ranch for Boys","903","Private","","","?","6 - 12","1308 S 1600 West","MAPLETON","84664","geo:40.11858,-111.59864","discoveryranch.net","","855-662-9318","","","2022","","Administrator","","contact@discoveryranch.net"
"Discovery Academy","KF","Discovery Ranch for Girls","665","Private","","","?","6 - 12","4928 N 4500 W","CEDAR CITY","84721","geo:37.77242,-113.142","www.discoveryranchforgirls.com","","435-865-9574","","","2019","","Administrator","","jessicab@discoveryranchforgirls.com"
"Discovery Academy","KF","Oasis Millcreek","904","Private","","","?","9 - 12","1624 E 4500 South","SALT LAKE CITY","84117","geo:40.67389,-111.84484","oasisascent.com","","855-701-2721","","","2022","","Administrator","","contact@oasisascent.com"
"Discovery Academy","KF","Oxbow Academy","902","Private","","","?","5 - 12","11479 East 15900 North","MOUNT PLEASANT","84647","geo:39.50529,-111.42265","oxbowacademy.net","","855-645-0483","","","2022","","Administrator","",""
"Discovery Academy","KF","RedCliff Ascent","901","Private","","","?","6 - 12","709 East Main Street","ENTERPRISE","84725","geo:37.57416,-113.70606","","","385-233-9324","","","2022","","Administrator","","contact@Redcliffascent.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Cedar","904","Private","","","?","Pre","238 Westview Dr.","CEDAR CITY","84720","geo:37.68252,-113.11222","discoveryclubhouse.com","","435-850-4022","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Harrison","907","Private","","","?","Pre","3435 Harrison Blvd.","OGDEN","84403","geo:41.20084,-111.94998","discoveryclubhouse.com","","385-600-5635","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Ogden","901","Private","","","?","Pre","1285 Monroe Blvd","OGDEN","84404","geo:41.24278,-111.95347","discoveryclubhouse.com","","385-600-5558","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Riverdale","905","Private","","","?","Pre","3953 Pacific Ave.","RIVERDALE","84405","geo:41.19158,-111.98608","discoveryclubhouse.com","","385-448-4133","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - St. George","902","Private","","","?","Pre","981 Westridge Dr. ","SAINT GEORGE","84770","geo:37.12541,-113.61595","discoveryclubhouse.com","","435-674-4766","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Washington","903","Private","","","?","Pre","248 Playa Della Rosita","WASHINGTON","84780","geo:37.13455,-113.52007","discoveryclubhouse.com","","435-673-2999","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Discovery Clubhouse","DC","Discovery Clubhouse - Washington Terrace","908","Private","","","?","Pre","386 W 5150 S","WASHINGTON TERRA","84405","geo:41.16989,-111.98488","discoveryclubhouse.com","","385-355-7442","","","2023","","Administrator","","janaya@discoveryclubhouse.com"
"Dorius Academy","LU","Dorius Academy","951","Private","","","?","7 - 12","2405 NORTH 400 WEST","LAYTON","84041","geo:41.095003,-111.971235","","","801-776-4532","801-776-0638","","2006","","Principal","","eevans8032@aol.com"
"Draper Academy","DA","Draper Academy","901","Private","","","?","1 - 8","12390 S 800 E","DRAPER","84020","geo:40.52531,-111.86907","","","801-300-2399","","","2021","","Administrator","","mschris@draperacademy.com"
"Dual Immersion Academy","4E","Dual Immersion Academy","100","Public","Charter","Title I","?","Pre - 8","1155 S GLENDALE DRIVE","SALT LAKE CITY","84104","geo:40.744277,-111.932652","http://diacharter.org/","https://datagateway.schools.utah.gov/Schools/4E100","801-972-1425","801-972-9482","State Charter School Board (SCSB)","2007","","Director","Suzanne Ramos","suzi.ramos@diacharter.org"
"Duchesne District","08","Altamont High","704","Public","","","?","7 - 12","200 W MAIN P O BOX 130","ALTAMONT","84001","geo:40.358838,-110.288443","http://www.dcsd.org/AltamontHigh.cfm?subpage=436212","https://datagateway.schools.utah.gov/Schools/08704","435-738-1345","435-738-1370","","1940","","Principal","Jane Berntson","jberntson901399@dcsd.org"
"Duchesne District","08","Altamont School","104","Public","","","?","Pre - 6","190 W MAIN P O BOX 40","ALTAMONT","84001","geo:40.358869,-110.287345","http://www.dcsd.org/AltamontElementary.cfm","https://datagateway.schools.utah.gov/Schools/08104","435-738-1375","435-738-1396","","1974","","Principal","Lori Oman","loman@dcsd.org"
"Duchesne District","08","Basin Online School","800","Public","","","?","K - 12","1091 E Lagoon St","ROOSEVELT","84066","geo:40.29949,-109.97751","","https://datagateway.schools.utah.gov/Schools/08800","435-725-4491","","","2021","","Principal","","jtuckett@dcsd.org"
"Duchesne District","08","Centennial School","106","Public","","Title I","?","K - 5","940 S 500 Roosevelt","ROOSEVELT","84066","geo:40.2860245,-109.9838506","dcsd.org","https://datagateway.schools.utah.gov/Schools/08106","435-725-4450","435-725-4499","","2015","","Principal","","bguymon@dcsd.org"
"Duchesne District","08","Con Amore School","802","Public","","","?","Pre - 12","P O BOX 99","MYTON","84052","geo:40.194307,-110.05782","http://www.dcsd.org/ConAmoreSchool.cfm","https://datagateway.schools.utah.gov/Schools/08802","435-725-4750","435-725-4758","","1976","","Principal","Lola Stansfield","lstansfield@dcsd.org"
"Duchesne District","08","Duchesne High","708","Public","","","?","7 - 12","P.O. BOX 330","DUCHESNE","84021","geo:40.164099,-110.404442","http://www.dcsd.org/DuchesneHigh.cfm","https://datagateway.schools.utah.gov/Schools/08708","435-738-1260","435-738-1285","","1937","","Principal","Daron Gatherum","dgatherum@dcsd.org"
"Duchesne District","08","Duchesne School","108","Public","","Title I","?","Pre - 6","DRAWER 370 198 W 300 N","DUCHESNE","84021","geo:40.166233,-110.404531","http://www.dcsd.org/DuchesneElementary.cfm","https://datagateway.schools.utah.gov/Schools/08108","435-738-1290","435-738-1313","","1965","","Principal","Aubrey Harris","aharris900163@dcsd.org"
"Duchesne District","08","East School","110","Public","","Title I","?","Pre - 5","700 E 400 N (107-10)","ROOSEVELT","84066","geo:40.30533,-109.981271","http://www.dcsd.org/EastElementary.cfm?subpage=436226","https://datagateway.schools.utah.gov/Schools/08110","435-725-4665","435-725-4709","","1974","","Principal","David Taylor","dtaylor@dcsd.org"
"Duchesne District","08","Kings Peak School","304","Public","","","?","K - 5","437 N 300 W (425-2)","ROOSEVELT","84066","geo:40.305386,-109.998364","","https://datagateway.schools.utah.gov/Schools/08304","435-725-4630","435-725-4661","","1986","","Principal","Rick F.  Nielsen","rfnielsen@dcsd.org"
"Duchesne District","08","Myton School","112","Public","","Title I","?","K - 5","P O BOX 186 400 E MAIN","MYTON","84052","geo:40.194357,-110.056167","http://www.dcsd.org/MytonElementary.cfm?subpage=436249","https://datagateway.schools.utah.gov/Schools/08112","435-725-4735","435-725-4746","","1981","","Principal","Shauna Ross","sross@dcsd.org"
"Duchesne District","08","Neola School","116","Public","","Title I","?","K - 5","P O BOX 220 8709 N STATE RD 121","NEOLA","84053","geo:40.428104,-110.033218","http://www.dcsd.org/NeolaElementary.cfm?subpage=436232","https://datagateway.schools.utah.gov/Schools/08116","435-725-4715","435-725-4730","","1979","","Principal","Nichol Alldredge","nalldredge@dcsd.org"
"Duchesne District","08","Roosevelt Jr High","404","Public","","","?","6 - 8","350 W 200 S","ROOSEVELT","84066","geo:40.302952,-109.998079","http://www.dcsd.org/RooseveltJunior.cfm?subpage=436234","https://datagateway.schools.utah.gov/Schools/08404","435-725-4585","435-725-4622","","1967","","Principal","Scott Forsyth","sforsyth@dcsd.org"
"Duchesne District","08","Tabiona High","712","Public","","","?","7 - 12","P O BOX 470 10 N MAIN","TABIONA","84072","geo:40.353386,-110.707986","","https://datagateway.schools.utah.gov/Schools/08712","435-738-1320","435-738-1332","","1982","","Principal","Darin Jenkins","djenkins@dcsd.org"
"Duchesne District","08","Tabiona School","124","Public","","","?","K - 6","P O BOX 470 10 N MAIN","TABIONA","84072","geo:40.353386,-110.707986","http://www.dcsd.org/TabionaSchool.cfm","https://datagateway.schools.utah.gov/Schools/08124","435-738-1320","435-738-1332","","1982","","Principal","Darin Jenkins","djenkins@dcsd.org"
"Duchesne District","08","Union High","714","Public","","","?","9 - 12","850 East Lagoon Street","ROOSEVELT","84066","geo:40.301372,-109.976465",".http://www.dcsd.org/UnionHigh.cfm?subpage=436242","https://datagateway.schools.utah.gov/Schools/08714","435-725-4525","435-725-4576","","1951","","Principal","David Green","dgreen@dcsd.org"
